title,author,isbn,status,rating,format,category,series,series_index,cover_url,blurb
The 26-Storey Treehouse,Andy Griffiths,"9781447279808",Read,9,Physical,Comedy,Treehouse,26,https://covers.openlibrary.org/b/isbn/9781447279808-L.jpg,"There are 13 new levels, including a skate park and an ice-cream parlour."
The 39-Storey Treehouse,Andy Griffiths,"9781447281580",Read,9,Physical,Comedy,Treehouse,39,https://covers.openlibrary.org/b/isbn/9781447281580-L.jpg,"We've added 13 new levels including a chocolate waterfall!"
The 52-Storey Treehouse,Andy Griffiths,"9781447281597",Read,9,Physical,Comedy,Treehouse,52,https://covers.openlibrary.org/b/isbn/9781447281597-L.jpg,"13 new levels including a watermelon-smashing level!"
The 65-Storey Treehouse,Andy Griffiths,"9781509839131",Read,9,Physical,Comedy,Treehouse,65,https://covers.openlibrary.org/b/isbn/9781509839131-L.jpg,"The treehouse now has a pet-grooming salon and a birthday room."
The 78-Storey Treehouse,Andy Griffiths,"9781509839155",Read,9,Physical,Comedy,Treehouse,78,https://covers.openlibrary.org/b/isbn/9781509839155-L.jpg,"Join Andy and Terry in their spectacular new 78-storey treehouse."
The 91-Storey Treehouse,Andy Griffiths,"9781509839179",Read,9,Physical,Comedy,Treehouse,91,https://covers.openlibrary.org/b/isbn/9781509839179-L.jpg,"We've added 13 new levels, including the world's most powerful whirlpool!"
The 104-Storey Treehouse,Andy Griffiths,"9781529002704",Read,9,Physical,Comedy,Treehouse,104,https://covers.openlibrary.org/b/isbn/9781529002704-L.jpg,"We've added a money-making machine and a never-ending staircase."
The 117-Storey Treehouse,Andy Griffiths,"9781529047866",Read,9,Physical,Comedy,Treehouse,117,https://covers.openlibrary.org/b/isbn/9781529047866-L.jpg,"We've got a tiny-horse racing level and a pyjama-party room."
The 130-Storey Treehouse,Andy Griffiths,"9781529047910",Read,9,Physical,Comedy,Treehouse,130,https://covers.openlibrary.org/b/isbn/9781529047910-L.jpg,"There's a soap bubble blaster and a grabinator!"
Bunny vs Monkey,Jamie Smart,"9781788450379",Read,10,Physical,Comics,Bunny vs Monkey,1,https://covers.openlibrary.org/b/isbn/9781788450379-L.jpg,"Welcome to the Woods."
Bunny vs Monkey: The Human Invasion,Jamie Smart,"9781910200834",Read,10,Physical,Comics,Bunny vs Monkey,2,https://covers.openlibrary.org/b/isbn/9781910200834-L.jpg,"Monkey has found a new way to cause chaos."
Bunny vs Monkey: The Stench,Jamie Smart,"9781788451451",Read,10,Physical,Comics,Bunny vs Monkey,3,https://covers.openlibrary.org/b/isbn/9781788451451-L.jpg,"What is that terrible smell?"
Bunny vs Monkey: Destruction,Jamie Smart,"9781910200612",Read,10,Physical,Comics,Bunny vs Monkey,4,https://covers.openlibrary.org/b/isbn/9781910200612-L.jpg,"It's total destruction in the woods."
Bunny vs Monkey: Machine Mayhem,Jamie Smart,"9781788452304",Read,10,Physical,Comics,Bunny vs Monkey,5,https://covers.openlibrary.org/b/isbn/9781788452304-L.jpg,"The inventions are out of control!"
Bunny vs Monkey: The Apocalypse,Jamie Smart,"9781788452373",Read,10,Physical,Comics,Bunny vs Monkey,6,https://covers.openlibrary.org/b/isbn/9781788452373-L.jpg,"The apocalypse is coming to the woods."
Looshkin,Jamie Smart,"9781788450331",Read,10,Physical,Comics,Looshkin,1,https://covers.openlibrary.org/b/isbn/9781788450331-L.jpg,"The maddest cat in the world."
Looshkin: The Maddest Cat Ever,Jamie Smart,"9781788452298",Read,10,Physical,Comics,Looshkin,2,https://covers.openlibrary.org/b/isbn/9781788452298-L.jpg,"More chaos from the blue cat."
The Hobbit,J.R.R. Tolkien,"9780261102217",Read,10,Physical,Fantasy,Middle Earth,0,https://covers.openlibrary.org/b/isbn/9780261102217-L.jpg,"Bilbo Baggins is a hobbit who enjoys a comfortable life."
The Fellowship of the Ring,J.R.R. Tolkien,"9780261102354",Read,10,Physical,Fantasy,Lord of the Rings,1,https://covers.openlibrary.org/b/isbn/9780261102354-L.jpg,"The first part of J.R.R. Tolkien's epic masterpiece."
The Two Towers,J.R.R. Tolkien,"9780261102361",Read,10,Physical,Fantasy,Lord of the Rings,2,https://covers.openlibrary.org/b/isbn/9780261102361-L.jpg,"Frodo and Sam continue their journey to Mordor."
The Return of the King,J.R.R. Tolkien,"9780261102378",Read,10,Physical,Fantasy,Lord of the Rings,3,https://covers.openlibrary.org/b/isbn/9780261102378-L.jpg,"The final battle for Middle-earth begins."
Inkheart,Cornelia Funke,"9781905294572",Read,9,Physical,Fantasy,Inkheart,1,https://covers.openlibrary.org/b/isbn/9781905294572-L.jpg,"Meggie loves stories. But her father has a terrible secret."
Inkspell,Cornelia Funke,"9780439554015",Read,9,Physical,Fantasy,Inkheart,2,https://covers.openlibrary.org/b/isbn/9780439554015-L.jpg,"Dustfinger finds his way back to the Inkworld."
Inkdeath,Cornelia Funke,"9781905294824",Read,9,Physical,Fantasy,Inkheart,3,https://covers.openlibrary.org/b/isbn/9781905294824-L.jpg,"The final chapter of the Inkheart trilogy."
The Witches,Roald Dahl,"9780141365473",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365473-L.jpg,"Real witches dress in ordinary clothes and look like ordinary women."
James and the Giant Peach,Roald Dahl,"9780141365459",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365459-L.jpg,"James Henry Trotter finds a magic potion and a giant peach."
Fantastic Mr Fox,Roald Dahl,"9780141365442",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365442-L.jpg,"Boggis, Bunce and Bean are the meanest farmers you could ever meet."
Charlie and the Chocolate Factory,Roald Dahl,"9780141365374",Read,10,Physical,Classic,Roald Dahl,1,https://covers.openlibrary.org/b/isbn/9780141365374-L.jpg,"Charlie Bucket wins a golden ticket."
Charlie and the Great Glass Elevator,Roald Dahl,"9780141365381",Read,10,Physical,Classic,Roald Dahl,2,https://covers.openlibrary.org/b/isbn/9780141365381-L.jpg,"Charlie and Mr Wonka are back! And this time they're in space."
Esio Trot,Roald Dahl,"9780141365428",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365428-L.jpg,"Mr Hoppy loves Mrs Silver. Mrs Silver loves Alfie the tortoise."
Danny the Champion of the World,Roald Dahl,"9780141365411",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365411-L.jpg,"Danny's father has a secret."
Matilda,Roald Dahl,"9780141365466",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365466-L.jpg,"Matilda is a brilliant child with parents who are idiots."
The BFG,Roald Dahl,"9780141365497",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365497-L.jpg,"The Big Friendly Giant kidnaps Sophie, but he is not like other giants."
The Twits,Roald Dahl,"9780141365480",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365480-L.jpg,"Mr and Mrs Twit are the smelliest, nastiest people in the world."
George's Marvellous Medicine,Roald Dahl,"9780141365503",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365503-L.jpg,"George decides to make a special new medicine for his grandma."
The Magic Finger,Roald Dahl,"9780141365527",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365527-L.jpg,"When the girl gets angry, her magic finger takes over."
The Giraffe and the Pelly and Me,Roald Dahl,"9780141365534",Read,10,Physical,Classic,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365534-L.jpg,"A giraffe, a pelican, and a monkey run the Ladderless Window-Cleaning Company."
Boy: Tales of Childhood,Roald Dahl,"9780141365541",Read,10,Physical,Non-Fiction,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365541-L.jpg,"Roald Dahl's true stories of his own childhood."
Going Solo,Roald Dahl,"9780141365558",Read,10,Physical,Non-Fiction,Roald Dahl,0,https://covers.openlibrary.org/b/isbn/9780141365558-L.jpg,"Roald Dahl's life as a young man in Africa and as a WWII pilot."
Big Nate: Prank You Very Much,Lincoln Peirce,"9781524890438",Read,8,Physical,Comedy,Big Nate,0,https://covers.openlibrary.org/b/isbn/9781524890438-L.jpg,"Middle school can be a hot mess."
Big Nate: Beware of Low-Flying Corn Muffins,Lincoln Peirce,"9781524887834",Read,8,Physical,Comedy,Big Nate,0,https://covers.openlibrary.org/b/isbn/9781524887834-L.jpg,"Snack-loving sixth-grader Nate Wright always has his hands full."
Timmy Failure: Mistakes Were Made,Stephan Pastis,"9781406347876",Read,9,Physical,Comedy,Timmy Failure,1,https://covers.openlibrary.org/b/isbn/9781406347876-L.jpg,"Timmy Failure is the founder, president, and CEO of the best detective agency in town."
Timmy Failure: Now Look What You've Done,Stephan Pastis,"9781406347883",Read,9,Physical,Comedy,Timmy Failure,2,https://covers.openlibrary.org/b/isbn/9781406347883-L.jpg,"Timmy Failure is back and he's about to crack the biggest case of his generation."
Sky Pirates: Echo and the Bat Pack,Jenny Kaatz,"9781406364132",Read,8,Physical,Adventure,Sky Pirates,1,https://covers.openlibrary.org/b/isbn/9781406364132-L.jpg,"Echo Quickthorn is a Sky Pirate."
The Art Book,Phaidon Editors,"9780714861159",Read,10,Physical,Non-Fiction,None,0,https://covers.openlibrary.org/b/isbn/9780714861159-L.jpg,"An A-Z guide to the greatest painters and sculptors."
Star Wars: The Last Jedi Official Collector's Edition,Titan Comics,"9781785869402",Read,10,Physical,Sci-Fi,Star Wars,0,https://covers.openlibrary.org/b/isbn/9781785869402-L.jpg,"The official guide to the movie Star Wars: The Last Jedi."
The Boy Who Grew Dragons,Andy Shepherd,"9781848126497",Read,9,Physical,Fantasy,The Boy Who Grew Dragons,1,https://covers.openlibrary.org/b/isbn/9781848126497-L.jpg,"Tomas discovers a strange tree and grows a dragon!"
The Boy Who Lived with Dragons,Andy Shepherd,"9781848126930",Read,9,Physical,Fantasy,The Boy Who Grew Dragons,2,https://covers.openlibrary.org/b/isbn/9781848126930-L.jpg,"Tomas is getting used to life with his dragon."
The Boy Who Flew with Dragons,Andy Shepherd,"9781848127272",Read,9,Physical,Fantasy,The Boy Who Grew Dragons,3,https://covers.openlibrary.org/b/isbn/9781848127272-L.jpg,"Tomas and his friends have to protect their dragons."
